grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
1.0637025700245855,1.7060561180114746,1.7260472476482391,1.7115509046448598,1.6776279151439666,1.7224676183291843,0.9969185590744019,1.0057925085226695,0.988441632853614,1.006675738096237,0.9862721775259291,64,0,,,,,,,,,,
,,,,,,,,,,,,,2.2826218605041504,2.2359529944027177,2.251157961393657,2.3107035300310925,2.365694111043757,1.5742076635360718,1.5436465249342077,1.561011791229248,1.5856540904325596,1.6265416470440952
0.7897110412419892,1.2744637274742128,0.9528558115697302,1.1201064787504849,1.3816788359907166,1.628291300425797,0.5836852484941482,0.26020158604168087,0.42303810047579293,0.695999777207105,0.9407901419359964,3264,50,,,,,,,,,,
0.3487105649381789,1.1092387485504147,0.7430536497035645,0.9220018062948745,1.2661001837493577,1.5306188556321538,0.45132868766784673,0.08227859821922984,0.26947505495706975,0.6072065913837219,0.8708779837127925,6464,100,,,,,,,,,,
0.3266284421417724,1.0703422725200662,0.6992927748528893,0.8667426417374234,1.1993211003558881,1.4923890252363068,0.4459294027090075,0.07070336322231058,0.24048978032380175,0.5796888072696905,0.8687887642151706,9664,150,,,,,,,,,,
0.32152784616276286,1.0304247665405275,0.6565597178426177,0.8088355191177576,1.1644580644413707,1.4638061254070325,0.43628473460674305,0.06078428857778223,0.21831446393222675,0.5654351365685155,0.8725819808359325,12864,200,,,,,,,,,,
0.31059342369580323,0.9857195723056796,0.6193079578221666,0.7750940659069657,1.119515876548651,1.4387423184853605,0.4218459814786911,0.054058467646067754,0.21010874740302254,0.5582477125424509,0.8747779511198222,16064,250,,,,,,,,,,
0.3039783051049989,0.9651987075805665,0.5905120554960008,0.726038928493375,1.0936810702275335,1.4177028898656718,0.4248082375526428,0.04986689819854769,0.19129087714418277,0.5511897718450836,0.874328731150316,19264,300,,,,,,,,,,
0.31157650426203404,0.9253008544445038,0.55966606206117,0.6910574345062854,1.0590017710091923,1.3918069406583022,0.4110077160596849,0.04359657523472482,0.17944283086927912,0.5461696935524742,0.8751839946394101,22464,350,,,,,,,,,,
0.29636927431740934,0.8936392426490782,0.527644199579422,0.6597503781020281,1.0364763511786308,1.3655964186636063,0.404229742884636,0.03856388396416272,0.16760513696525808,0.5485104115157091,0.8772152599497507,25664,400,,,,,,,,,,
0.29153505645234024,0.8612342357635496,0.4965135325131124,0.6245275933457459,0.9972146101969614,1.3505866977542929,0.39567498624324793,0.0337050139365372,0.16009457118287299,0.5341389256450327,0.8787939177438763,28864,450,,,,,,,,,,
0.28934920722797497,0.8329227137565618,0.4725760560505315,0.5980640118332822,0.9678551665608565,1.3269759031349133,0.3892479056119919,0.031542115027479986,0.15339611524819735,0.5264688980415334,0.8793512714728154,32064,500,,,,,,,,,,
0.302314745955046,0.8205166637897486,0.4523098251533388,0.5697567490801954,0.963944695531749,1.310152653134847,0.39803631603717804,0.03015534020153489,0.1481412946518541,0.540472875205942,0.8875129978585451,35264,550,,,,,,,,,,
0.28864102463539715,0.7914923501014712,0.43397383353649094,0.5360584899875686,0.9186536804809208,1.288412578644289,0.38857060849666597,0.02689260472765285,0.1386389740644406,0.5135131923796294,0.8863416670569709,38464,600,,,,,,,,,,
0.28853741828704416,0.7771939885616304,0.41246795298890293,0.5237719444151079,0.9055469520856855,1.2723822460402183,0.3902930599451065,0.02549475011479415,0.13533333086230798,0.5174844597365923,0.8882662256309132,41664,650,,,,,,,,,,
0.28367722566756576,0.7492500627040865,0.3866501185846959,0.4996768861631799,0.884325894687226,1.254579449865962,0.38286490261554734,0.023661483712516657,0.13090953936069455,0.5175816572108852,0.8873301985334396,44864,700,,,,,,,,,,
0.2933245579765683,0.7417881572246552,0.372824408029184,0.47752871138975045,0.8604705237610837,1.230930745743064,0.39230774998664864,0.02178703336334784,0.12741282815812152,0.5107654720817154,0.8837184355917925,48064,750,,,,,,,,,,
0.28310353692744744,0.7137539088726046,0.35520280884529737,0.44556453743544916,0.8549997956131619,1.2201979078513405,0.3811350971460343,0.021471380197689634,0.11623123438642043,0.5220063347012607,0.8856010734656271,51264,800,,,,,,,,,,
0.28920135271397024,0.6963587880134584,0.33729456324384754,0.4337130433400088,0.8338251080482645,1.2070744709229781,0.37913445353507996,0.019939642045531183,0.11771836928322249,0.5153346282281692,0.8899521435421344,54464,850,,,,,,,,,,
0.2595769014367275,0.6862132525444028,0.3210576795684322,0.4146408883073344,0.8193672774014636,1.1961934276249113,0.38339201986789695,0.01921384622832874,0.11223821516452102,0.5165782254546079,0.8919313852831443,57664,900,,,,,,,,,,
0.2648444506730278,0.6645498728752136,0.3087117124258017,0.39697628219286396,0.791937463885344,1.177241633529023,0.3740353292226791,0.019620022058441506,0.1059530941022991,0.5025043957619272,0.884567621462386,60864,950,,,,,,,,,,
0.25484804889820123,0.6497939419746399,0.29255458010669827,0.3785429268422782,0.7689391412889652,1.1640817890970063,0.37445157170295723,0.018848658970855595,0.10465188225994093,0.4943779120392715,0.8847819282388202,64064,1000,,,,,,,,,,
0.26274013400233165,0.6370454025268556,0.27990564040800653,0.36740513420696835,0.75942147881348,1.1497304027247617,0.37351860642433166,0.018279049369989267,0.1019212016120255,0.49751163846957713,0.884805272415186,67264,1050,,,,,,,,,,
