grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
1.064071313883504,1.7061710357666016,1.726244568824768,1.7115524146291945,1.6777282178401949,1.7226791722433907,0.9969600439071655,1.005879486600558,0.9884427454736497,1.0066935747861865,0.9863607244832177,64,0,,,,,,,,,,
,,,,,,,,,,,,,2.2834091186523438,2.2366369892569145,2.251825031481291,2.3113233061397773,2.367106416008689,1.5749261379241943,1.5442393316942102,1.5616251292981604,1.5861949149300072,1.6279107332229614
0.7902782711222602,1.2747455692291265,0.9530897540912159,1.1204781536654231,1.3820484972439853,1.6284507514467117,0.58391966342926,0.26037314125499755,0.42336116438237975,0.6963376101297823,0.9409030982081175,3264,50,,,,,,,,,,
0.3481594446728877,1.1094961166381836,0.7432131062587486,0.9222943010993591,1.2664501076576677,1.530852464666391,0.45154445707798,0.0823943747684654,0.2697297342910067,0.6075156689490254,0.8710675164499776,6464,100,,,,,,,,,,
0.32683013737265687,1.0706224131584168,0.699434798925429,0.8670412547538932,1.1997530550753324,1.4926262807073136,0.4461670196056365,0.07080594928758888,0.24075140187352753,0.580076773937844,0.8689767166860671,9664,150,,,,,,,,,,
0.32175608149933776,1.0307240188121796,0.6567035958077185,0.8091627043199613,1.164956547449947,1.4640359311149664,0.4365372383594514,0.060874985420853886,0.21859225452951273,0.5658897784657008,0.8727708145832775,12864,200,,,,,,,,,,
0.3108612991641319,0.9860110414028169,0.6194358309556489,0.7754217599486484,1.1199934842296357,1.4389746352087094,0.4220942020416259,0.054146506027149925,0.21039093094946695,0.5586861767987238,0.8749617341198493,16064,250,,,,,,,,,,
0.3040370763685339,0.965490164756775,0.5906398903273934,0.7263394613035267,1.094174568516433,1.417952319150846,0.42505952060222624,0.04995225872493016,0.19155220097111153,0.5516407539890076,0.8745413713201264,19264,300,,,,,,,,,,
0.3117649626727752,0.9256060874462129,0.5597951074886088,0.6913784725922962,1.0595015818967741,1.3920802296618306,0.41127363979816445,0.04368851250222893,0.17972256854774063,0.5466349332212656,0.8754130839410774,22464,350,,,,,,,,,,
0.29692129441714266,0.8939414143562318,0.5277549849466536,0.6600674947301797,1.03704628665051,1.365840983304214,0.40448911190032955,0.038634159216849984,0.16787332144375894,0.5490346371680906,0.877423275758222,25664,400,,,,,,,,,,
